Zeitstempel:                     Temperatur:
Fri Sep 29 14:00:48 CEST 2023    31.00
Fri Sep 29 14:00:48 CEST 2023    31.00
Fri Sep 29 14:00:49 CEST 2023    31.00
Fri Sep 29 14:00:49 CEST 2023    31.00
Fri Sep 29 14:00:49 CEST 2023    31.00
Fri Sep 29 14:00:49 CEST 2023    31.25
Fri Sep 29 14:00:50 CEST 2023    31.25
Fri Sep 29 14:00:50 CEST 2023    31.25
Fri Sep 29 14:00:50 CEST 2023    31.25
Fri Sep 29 14:00:50 CEST 2023    31.25
Fri Sep 29 14:00:51 CEST 2023    31.25
Fri Sep 29 14:00:51 CEST 2023    31.50
Fri Sep 29 14:00:51 CEST 2023    31.50
Fri Sep 29 14:00:51 CEST 2023    31.50
Fri Sep 29 14:00:52 CEST 2023    31.50
Fri Sep 29 14:00:52 CEST 2023    31.50
Fri Sep 29 14:00:52 CEST 2023    31.50
Fri Sep 29 14:00:52 CEST 2023    31.50
Fri Sep 29 14:00:52 CEST 2023    31.50
Fri Sep 29 14:00:53 CEST 2023    31.50
Fri Sep 29 14:00:53 CEST 2023    31.50
Fri Sep 29 14:00:53 CEST 2023    31.75
Fri Sep 29 14:00:53 CEST 2023    31.75
Fri Sep 29 14:00:54 CEST 2023    31.75
Fri Sep 29 14:00:54 CEST 2023    31.75
Fri Sep 29 14:00:54 CEST 2023    31.75
Fri Sep 29 14:00:54 CEST 2023    31.75
Fri Sep 29 14:00:55 CEST 2023    31.75
Fri Sep 29 14:00:55 CEST 2023    31.75
Fri Sep 29 14:00:55 CEST 2023    31.75
Fri Sep 29 14:00:55 CEST 2023    31.75
Fri Sep 29 14:00:56 CEST 2023    31.75
Fri Sep 29 14:00:56 CEST 2023    31.75
Fri Sep 29 14:00:56 CEST 2023    32.00
Fri Sep 29 14:00:56 CEST 2023    32.00
Fri Sep 29 14:00:57 CEST 2023    32.00
Fri Sep 29 14:00:57 CEST 2023    32.00
Fri Sep 29 14:00:57 CEST 2023    32.00
Fri Sep 29 14:00:57 CEST 2023    32.00
Fri Sep 29 14:00:57 CEST 2023    32.00
Fri Sep 29 14:00:58 CEST 2023    32.00
Fri Sep 29 14:00:58 CEST 2023    32.00
Fri Sep 29 14:00:58 CEST 2023    32.00
Fri Sep 29 14:00:58 CEST 2023    32.00
Fri Sep 29 14:00:59 CEST 2023    32.00
Fri Sep 29 14:00:59 CEST 2023    32.00
Fri Sep 29 14:00:59 CEST 2023    32.00
Fri Sep 29 14:00:59 CEST 2023    32.00
Fri Sep 29 14:01:00 CEST 2023    32.00
Fri Sep 29 14:01:00 CEST 2023    32.00
Fri Sep 29 14:01:00 CEST 2023    32.00
Fri Sep 29 14:01:00 CEST 2023    32.00
Fri Sep 29 14:01:01 CEST 2023    32.00
Fri Sep 29 14:01:01 CEST 2023    32.00
Fri Sep 29 14:01:01 CEST 2023    32.25
Fri Sep 29 14:01:01 CEST 2023    32.25
Fri Sep 29 14:01:02 CEST 2023    32.25
Fri Sep 29 14:01:02 CEST 2023    32.25
Fri Sep 29 14:01:02 CEST 2023    32.25
Fri Sep 29 14:01:02 CEST 2023    32.25
Fri Sep 29 14:01:02 CEST 2023    32.25
Fri Sep 29 14:01:03 CEST 2023    32.25
Fri Sep 29 14:01:03 CEST 2023    32.25
Fri Sep 29 14:01:03 CEST 2023    32.25
Fri Sep 29 14:01:03 CEST 2023    32.25
Fri Sep 29 14:01:04 CEST 2023    32.25
Fri Sep 29 14:01:04 CEST 2023    32.50
Fri Sep 29 14:01:04 CEST 2023    32.50
Fri Sep 29 14:01:04 CEST 2023    32.50
Fri Sep 29 14:01:05 CEST 2023    32.50
